id,zip,latitude,longitude
zipgeo_33190,33190,25.556885,-80.349914
zipgeo_33193,33193,25.705415,-80.470847
zipgeo_33194,33194,25.714060,-80.583523
zipgeo_33196,33196,25.648447,-80.554670
zipgeo_33301,33301,26.121323,-80.127909
zipgeo_33304,33304,26.141340,-80.119169
zipgeo_33305,33305,26.153446,-80.122627
zipgeo_33306,33306,26.165508,-80.114094
zipgeo_33308,33308,26.188510,-80.104988
zipgeo_33309,33309,26.185990,-80.172721
zipgeo_33311,33311,26.144208,-80.172785
zipgeo_33312,33312,26.088170,-80.181783
zipgeo_33313,33313,26.151520,-80.227397
zipgeo_33314,33314,26.067890,-80.224160
zipgeo_33315,33315,26.087005,-80.152976
zipgeo_33316,33316,26.101566,-80.120955
zipgeo_33317,33317,26.112600,-80.227875
zipgeo_33319,33319,26.181382,-80.225802
zipgeo_33321,33321,26.212501,-80.270158
zipgeo_33322,33322,26.149977,-80.275707
zipgeo_33323,33323,26.151759,-80.320939
zipgeo_33324,33324,26.112485,-80.274940
zipgeo_33325,33325,26.110546,-80.324093
zipgeo_33326,33326,26.110469,-80.374015
zipgeo_33327,33327,26.226029,-80.367607
zipgeo_33328,33328,26.070471,-80.272864
zipgeo_33330,33330,26.060566,-80.330284
zipgeo_33331,33331,26.060462,-80.369595
zipgeo_33332,33332,26.006605,-80.460176
zipgeo_33334,33334,26.183753,-80.134055
zipgeo_33351,33351,26.179581,-80.275040
zipgeo_33388,33388,26.117118,-80.254165
zipgeo_33401,33401,26.715793,-80.066777
zipgeo_33403,33403,26.803774,-80.076385
zipgeo_33404,33404,26.781099,-80.063244
zipgeo_33405,33405,26.669649,-80.058452
zipgeo_33406,33406,26.664083,-80.092373
zipgeo_33407,33407,26.757692,-80.091172
zipgeo_33408,33408,26.840895,-80.052098
zipgeo_33409,33409,26.715601,-80.095886
zipgeo_33410,33410,26.845662,-80.087350
zipgeo_33411,33411,26.715201,-80.203797
zipgeo_33412,33412,26.803302,-80.217319
zipgeo_33413,33413,26.663715,-80.151341
zipgeo_33414,33414,26.646721,-80.250311
zipgeo_33415,33415,26.660205,-80.126573
zipgeo_33417,33417,26.720445,-80.124016
zipgeo_33418,33418,26.872713,-80.165712
zipgeo_33426,33426,26.533736,-80.083152
zipgeo_33428,33428,26.351283,-80.229122
zipgeo_33430,33430,26.602653,-80.579271
zipgeo_33431,33431,26.374590,-80.106610
zipgeo_33432,33432,26.343798,-80.082210
zipgeo_33433,33433,26.347076,-80.159189
zipgeo_33434,33434,26.383168,-80.167688
zipgeo_33435,33435,26.525785,-80.061367
zipgeo_33436,33436,26.522954,-80.107263
zipgeo_33437,33437,26.509389,-80.148474
zipgeo_33438,33438,26.976388,-80.523513
zipgeo_33440,33440,26.537946,-81.044144
zipgeo_33441,33441,26.311098,-80.097874
zipgeo_33442,33442,26.309716,-80.144905
zipgeo_33444,33444,26.457074,-80.079598
zipgeo_33445,33445,26.455873,-80.107935
zipgeo_33446,33446,26.457431,-80.183425
zipgeo_33449,33449,26.592718,-80.233877
zipgeo_33455,33455,27.053677,-80.162320
zipgeo_33458,33458,26.935806,-80.128441
zipgeo_33460,33460,26.618426,-80.055762
zipgeo_33461,33461,26.618582,-80.093216
zipgeo_33462,33462,26.576183,-80.072313
zipgeo_33463,33463,26.593249,-80.128900
zipgeo_33467,33467,26.596362,-80.175602
zipgeo_33469,33469,26.989347,-80.108549
zipgeo_33470,33470,26.783861,-80.380968
zipgeo_33471,33471,26.917498,-81.198156
zipgeo_33472,33472,26.539753,-80.189030
zipgeo_33473,33473,26.503291,-80.192245
zipgeo_33476,33476,26.800973,-80.653060
zipgeo_33477,33477,26.918903,-80.076060
zipgeo_33478,33478,26.939847,-80.261144
zipgeo_33480,33480,26.685220,-80.037632
zipgeo_33483,33483,26.462605,-80.061762
zipgeo_33484,33484,26.454311,-80.134344
zipgeo_33486,33486,26.347543,-80.114805
